name,LogFC,mean_pg,mean_control,f,f_WT,delta,delta_WT,delta_WT_norm,pvalue,pvalue_WT,padj,padj_WT,exp
CEX1,-0.5904428526089989,5.12033066340398,5.710773516012979,-0.10339104693145337,-0.0877012646474227,-0.5904428526089989,-0.4941773979838624,-5.133486357159161,0.28644900280528973,0.3617195726133507,0.9954936997189089,0.999525168978149,pg_pd
CFD1,3.5352015004689896,4.9907336966935825,1.4555321962245928,2.428803368031783,2.4444931503158136,3.5352015004689896,3.631466955094126,37.723469641682776,0.07550619627354148,0.07062371834304823,0.9347966251348047,0.999525168978149,pg_pd
CFF1,-0.2789742541212714,6.514081367435875,6.793055621557146,-0.041067565122825125,-0.02537778283879445,-0.2789742541212714,-0.18270879949613494,-1.8979684893985502,0.09605072424873118,0.1930023740958353,0.96528019197506,0.999525168978149,pg_pd
CGR1,0.5235223918441152,4.892308113661614,4.368785721817499,0.11983247180782303,0.1355222540918537,0.5235223918441152,0.6197878464692517,6.4383204637919516,0.5090188963706221,0.44079966347238186,0.9954936997189089,0.999525168978149,pg_pd
CHA4,-0.2533340888140856,5.540210574893354,5.79354466370744,-0.043726958799687674,-0.028037176515656997,-0.2533340888140856,-0.15706863418894912,-1.6316199284632678,0.5109565293034298,0.6771086694989357,0.9954936997189089,0.999525168978149,pg_pd
CHD1,-0.510166539248905,6.231912600524285,6.74207913977319,-0.07566902266680713,-0.05997924038277645,-0.510166539248905,-0.4139010846237685,-4.299580636018647,0.12355589420978401,0.18408286432955576,0.9954936997189089,0.999525168978149,pg_pd
CHL4,0.436441014633016,5.7022862626709365,5.2658452480379205,0.08288147373788396,0.09857125602191463,0.436441014633016,0.5327064692581525,5.5337241311802225,0.4683717372875884,0.38821369568020697,0.9954936997189089,0.999525168978149,pg_pd
CHM7,-0.2970548401597384,5.047550364193398,5.344605204353137,-0.05558031487859752,-0.039890532594566847,-0.2970548401597384,-0.2007893855346019,-2.085788576145908,0.20844430935585684,0.3616392030202195,0.9954936997189089,0.999525168978149,pg_pd
CHO2,0.002958140473591442,3.898457927379749,3.8954997869061576,7.59373799360627e-4,0.016449156083391304,0.002958140473591442,0.09922359509872791,1.0307289929197407,0.9956385480353374,0.8552043695848828,0.9998847139030493,0.999525168978149,pg_pd
CHS3,-0.4924415720870172,2.571031848147388,3.063473420234405,-0.1607461546212265,-0.14505637233719582,-0.4924415720870172,-0.39617611746188075,-4.115454697685838,0.13771042801300132,0.20964595996797553,0.9954936997189089,0.999525168978149,pg_pd
CHZ1,1.17881291448241,3.8392689380270744,2.6604560235446644,0.44308678814837765,0.4587765704324083,1.17881291448241,1.2750783691075465,13.24544068350146,0.5639664277075097,0.5355763874503489,0.9954936997189089,0.999525168978149,pg_pd
CIK1,0.13428153268745446,2.0204749561282638,1.8861934234408093,0.07119181469867338,0.08688159698270405,0.13428153268745446,0.23054698731259093,2.3949088300715444,0.9314715614633122,0.8828210620924242,0.9979039075422546,0.999525168978149,pg_pd
CIN1,-0.40879270073508067,4.1910275964207875,4.599820297155868,-0.0888714502581422,-0.07318166797411153,-0.40879270073508067,-0.3125272461099442,-3.2465150383067765,0.47785354412945497,0.5781688773296972,0.9954936997189089,0.999525168978149,pg_pd
CIN10,-0.2932951675783211,3.4097515792447566,3.7030467468230777,-0.07920374427623557,-0.0635139619922049,-0.2932951675783211,-0.1970297129531846,-2.0467333138396353,0.6995243693863628,0.794219499968597,0.9954936997189089,0.999525168978149,pg_pd
CIN5,0.24774973436709935,5.484399759190614,5.236650024823515,0.04731072979723311,0.06300051208126378,0.24774973436709935,0.3440151889922358,3.573609975996601,0.6095899047994633,0.4859078547796052,0.9954936997189089,0.999525168978149,pg_pd
CIN8,0.09536076104112112,2.9183305345561403,2.822969773515019,0.03378029829996469,0.049470080583995366,0.09536076104112112,0.1916262156662576,1.9906020951385075,0.9658751705906437,0.9315258811438913,0.9979039075422546,0.999525168978149,pg_pd
CIR1,-0.2193412988443364,3.0015339093902647,3.220875208234601,-0.06809990597697199,-0.05241012369294132,-0.2193412988443364,-0.12307584421919993,-1.27850478344973,0.9194273523574483,0.9547119510420801,0.9979039075422546,0.999525168978149,pg_pd
CIS1,0.36216591245714014,6.44821820351789,6.08605229106075,0.059507525590782845,0.07519730787481352,0.36216591245714014,0.4584313670822766,4.7621586462915095,0.38202611629106953,0.286798270321756,0.9954936997189089,0.999525168978149,pg_pd
CIS3,-0.018144170033713714,5.221123834443889,5.239268004477602,-0.0034631116442616176,0.01222667063976906,-0.018144170033713714,0.07812128459142276,0.8115194063709747,0.9508375243959788,0.7918195050042856,0.9979039075422546,0.999525168978149,pg_pd
CIT1,-0.8484900650447227,1.3839607878334508,2.2324508528781735,-0.3800711061346825,-0.3643813238506518,-0.8484900650447227,-0.7522246104195862,-7.814065942437965,0.3993603551977977,0.4479933673099212,0.9954936997189089,0.999525168978149,pg_pd
CIT2,0.39515283754387776,3.2059020670190677,2.81074922947519,0.14058630111860204,0.15627608340263272,0.39515283754387776,0.4914182921690142,5.1048249248146895,0.8108357705950742,0.7668128526790237,0.9954936997189089,0.999525168978149,pg_pd
CKA2,-0.007258578787489256,7.666811627309449,7.674070206096938,-9.458577511738712e-4,0.014743924532856806,-0.007258578787489256,0.08900687583764721,0.9245983014804781,0.9685318052786956,0.6389356393391201,0.9986433327933406,0.999525168978149,pg_pd
CKB2,-0.3395452704117594,0.6706054000013606,1.01015067041312,-0.3361332921482852,-0.3204435098642545,-0.3395452704117594,-0.24327981578662294,-2.5271767191457135,0.8003382089735536,0.8558521490153841,0.9954936997189089,0.999525168978149,pg_pd
CKI1,-0.20627678642022662,4.851931922262945,5.058208708683171,-0.040780600070163514,-0.025090817786132837,-0.20627678642022662,-0.11001133179509015,-1.142791380599416,0.34619014962453964,0.5925581969996059,0.9954936997189089,0.999525168978149,pg_pd
CLB1,-0.17422798533374007,7.277422106796683,7.451650092130423,-0.02338112809641178,-0.007691345812381102,-0.17422798533374007,-0.0779625307086036,-0.8098702801767719,0.7414060661782875,0.8818738110537375,0.9954936997189089,0.999525168978149,pg_pd
CLB4,0.255345548548898,4.129226521977,3.8738809734281023,0.06591466033684969,0.08160444262088036,0.255345548548898,0.3516110031740345,3.6525148563753125,0.6607428270867621,0.5518854906359878,0.9954936997189089,0.999525168978149,pg_pd
CLB6,-0.43054756986381637,6.926562431585621,7.3571100014494375,-0.05852129025921774,-0.04283150797518706,-0.43054756986381637,-0.3342821152386799,-3.4725033662427998,0.3581025035442237,0.46491447023792976,0.9954936997189089,0.999525168978149,pg_pd
CLD1,-0.22909151906722336,6.7629060754601245,6.991997594527348,-0.03276481663073423,-0.017075034346703554,-0.22909151906722336,-0.1328260644420869,-1.3797895097397053,0.376241585716625,0.5905182208076138,0.9954936997189089,0.999525168978149,pg_pd
CLG1,-0.14414090009227287,4.194804785090637,4.33894568518291,-0.033220259148322696,-0.01753047686429202,-0.14414090009227287,-0.0478754454671364,-0.4973273710030903,0.7944965068449464,0.9307636605050352,0.9954936997189089,0.999525168978149,pg_pd
CLN1,-0.46034780221798677,5.100954943663971,5.5613027458819575,-0.08277697209684652,-0.06708718981281585,-0.46034780221798677,-0.3640823475928503,-3.782066464139281,0.3102488434973871,0.4075151821449857,0.9954936997189089,0.999525168978149,pg_pd
CLN3,0.04840924810126257,6.325752397455074,6.277343149353811,0.007711741567966666,0.02340152385199734,0.04840924810126257,0.14467470272639904,1.502872482031806,0.8835547984637262,0.665666993597741,0.9979039075422546,0.999525168978149,pg_pd
CLU1,-0.5960164272811026,4.571768745967648,5.167785173248751,-0.11533305029133288,-0.09964326800730221,-0.5960164272811026,-0.49975097265596613,-5.191384329945013,0.2870328509619638,0.3612451522344952,0.9954936997189089,0.999525168978149,pg_pd
CMC4,1.0864231772681405,7.050516483214769,5.964093305946628,0.182160660730257,0.19785044301428767,1.0864231772681405,1.182688631893277,12.28570141281458,0.045805224533918984,0.03565763693642353,0.7607961512430607,0.7359598646324884,pg_pd
CMG1,0.16790686790817588,7.183209459643848,7.015302591735672,0.023934372853136425,0.039624155137167105,0.16790686790817588,0.26417232253331235,2.7442068763090086,0.5587323148366216,0.3756105241231587,0.9954936997189089,0.999525168978149,pg_pd
CMK1,-0.25184445522925447,5.177164742417946,5.429009197647201,-0.04638865878849453,-0.030698876504463856,-0.25184445522925447,-0.155579000604118,-1.6161457005522082,0.6203505737184025,0.7570746477583306,0.9954936997189089,0.999525168978149,pg_pd
CMK2,0.5545728605000471,3.778866902123711,3.224294041623664,0.1719982276246678,0.18768800990869847,0.5545728605000471,0.6508383151251835,6.760870944406666,0.43745415536079124,0.37123689738891,0.9954936997189089,0.999525168978149,pg_pd
CMP2,-0.325928697422766,5.077721000859677,5.403649698282443,-0.06031640014088308,-0.0446266178568524,-0.325928697422766,-0.2296632427976295,-2.3857285429332062,0.49198258698430564,0.6215461622629048,0.9954936997189089,0.999525168978149,pg_pd
CMR1,0.43195928420801355,3.9574045208695026,3.525445236661489,0.12252616484182534,0.13821594712585603,0.43195928420801355,0.52822473883315,5.487168173568485,0.6773564882510041,0.6140617343139027,0.9954936997189089,0.999525168978149,pg_pd
CMR2,-0.2465834098485118,5.575816259290306,5.822399669138818,-0.042350821630385185,-0.02666103934635451,-0.2465834098485118,-0.15031795522337532,-1.5614942640506146,0.5020311864813308,0.6742714217679486,0.9954936997189089,0.999525168978149,pg_pd
CMR3,-0.4378326742806289,4.304590355867143,4.742423030147772,-0.0923225683363355,-0.07663278605230482,-0.4378326742806289,-0.3415672196554924,-3.548180611472474,0.2005330651979056,0.2959955932946714,0.9954936997189089,0.999525168978149,pg_pd
CMS1,0.2722481786683151,4.666854238388822,4.394606059720507,0.06195053093920091,0.07764031322323159,0.2722481786683151,0.36851363329345155,3.8280984048583786,0.33151887254750834,0.20940509579379374,0.9954936997189089,0.999525168978149,pg_pd
CNA1,-0.08214819781369176,7.137311118096002,7.219459315909694,-0.0113787188512386,0.004311063432792077,-0.08214819781369176,0.014117256811444712,0.14664925093241565,0.3384551741283589,0.8592162202744231,0.9954936997189089,0.999525168978149,pg_pd
CNB1,0.2867930319110745,3.901257402553993,3.6144643706429185,0.07934592860852065,0.09503571089255132,0.2867930319110745,0.383058486536211,3.979189502899706,0.8814676444555033,0.8424476263811607,0.9979039075422546,0.999525168978149,pg_pd
CNE1,-0.3298489907050479,5.610493212718965,5.940342203424013,-0.055526934208423716,-0.039837151924393036,-0.3298489907050479,-0.23358353607991145,-2.426452323832053,0.598775036225134,0.7056343814573682,0.9954936997189089,0.999525168978149,pg_pd
CNM1,-0.1260558546173014,5.552799731742834,5.678855586360135,-0.022197404512287827,-0.00650762222825715,-0.1260558546173014,-0.02979039999216493,-0.3094609598860833,0.8574707756233516,0.9660379040874747,0.9954936997189089,0.999525168978149,pg_pd
COA2,1.1024693962292225,3.359027136300605,2.2565577400713823,0.48856245805363163,0.5042522403376624,1.1024693962292225,1.198734850854359,12.452388611494179,0.3910300225174305,0.35773174390324947,0.9954936997189089,0.999525168978149,pg_pd
COA3,0.4745704080446421,0.2085072796280637,-0.2660631284165784,1.7836759676883946,1.7993657499724254,0.4745704080446421,0.5708358626697786,5.929810074576058,0.21153933478872933,0.14892635350467234,0.9954936997189089,0.999525168978149,pg_pd
COA4,-0.9756082478161954,2.2449231405495187,3.220531388365714,-0.30293393548052827,-0.2872441531964976,-0.9756082478161954,-0.8793427931910589,-9.134562306024245,0.5803540609362212,0.6161442006108999,0.9954936997189089,0.999525168978149,pg_pd
COG6,-0.2254498682495485,2.353890735751206,2.5793406040007545,-0.08740600907838945,-0.07171622679435878,-0.2254498682495485,-0.12918441362441202,-1.3419602507198867,0.7477031980573764,0.8529626438232893,0.9954936997189089,0.999525168978149,pg_pd
COG8,-0.2440062716790421,3.70470860925552,3.948714880934562,-0.06179384408258211,-0.046104061798551435,-0.2440062716790421,-0.14774081705390563,-1.5347231011292404,0.5264747824390275,0.6946527288914033,0.9954936997189089,0.999525168978149,pg_pd
COQ10,0.24352134785799368,-0.022541780558584735,-0.2660631284165784,0.9152765710426031,0.9309663533266338,0.24352134785799368,0.33978680248313015,3.5296857403964963,0.4240421225011551,0.2978732349219212,0.9954936997189089,0.999525168978149,pg_pd
COQ11,-0.1005161319201493,6.512201220812051,6.612717352732201,-0.015200427684788112,4.893545992425644e-4,-0.1005161319201493,-0.004250677295012828,-0.044155791000678526,0.8482462735235423,0.9935270290025938,0.9954936997189089,0.999525168978149,pg_pd
COQ3,0.3218012115504606,1.2311915913392693,0.9093903797888087,0.3538647633650949,0.3695545456491256,0.3218012115504606,0.41806666617559707,4.342852457338659,0.8514425049734597,0.8081100291854981,0.9954936997189089,0.999525168978149,pg_pd
COQ5,0.5392890795249612,0.9218626674601539,0.3825735879351927,1.4096348951729407,1.4253246774569714,0.5392890795249612,0.6355545341500977,6.602103907626943,0.6401508066477521,0.5849349386465253,0.9954936997189089,0.999525168978149,pg_pd
COQ6,0.7354901877945195,2.3570805527565897,1.6215903649620702,0.4535610248348528,0.46925080711888345,0.7354901877945195,0.8317556424196559,8.64022972372138,0.5475127796105653,0.49934121299789364,0.9954936997189089,0.999525168978149,pg_pd
COS10,-0.10231730628730773,9.692326397978876,9.794643704266184,-0.010446250969062008,0.005243531314968668,-0.10231730628730773,-0.006051851662171259,-0.06286628662106815,0.43992913672832173,0.9620097635134319,0.9954936997189089,0.999525168978149,pg_pd
COS12,0.12751402599853012,6.68323064638948,6.55571662039095,0.019450814210289314,0.03514059649431999,0.12751402599853012,0.2237794806236666,2.3246083602376104,0.2709413063784663,0.09002462046618503,0.9954936997189089,0.999525168978149,pg_pd
COS6,-0.14686274298958146,4.069126946749249,4.21598968973883,-0.03483470164716632,-0.019144919363135646,-0.14686274298958146,-0.05059728836444499,-0.5256017183056363,0.8463495671532293,0.9465833168397642,0.9954936997189089,0.999525168978149,pg_pd
COT1,-0.09568079031471921,5.855830377628626,5.9515111679433454,-0.016076721964344978,-3.8693968031430076e-4,-0.09568079031471921,5.8466431041726e-4,0.006073459193580691,0.7740155217889001,0.9985912483510855,0.9954936997189089,0.999525168978149,pg_pd
COX20,0.24352134785799368,-0.022541780558584735,-0.2660631284165784,0.9152765710426031,0.9309663533266338,0.24352134785799368,0.33978680248313015,3.5296857403964963,0.4240421225011551,0.2978732349219212,0.9954936997189089,0.999525168978149,pg_pd
COX5B,-0.0022878434215458654,4.915489313228074,4.91777715664962,-4.6521901027018597e-4,0.01522456327376049,-0.0022878434215458654,0.0939776112035906,0.9762340142634254,0.9972101134243696,0.8859723343148203,0.9998847139030493,0.999525168978149,pg_pd
COX8,0.8524716108711017,3.397098795120991,2.5446271842498893,0.335008450804708,0.35069823308873865,0.8524716108711017,0.9487370654962382,9.855426011238174,0.6346000250169205,0.599044697339778,0.9954936997189089,0.999525168978149,pg_pd
