gene_id	go_term
MEL5	GO:0005984
MEL5	GO:0005994
MEL5	GO:0005995
MEL5	GO:0008150
MEL5	GO:0008152
MEL5	GO:0009056
MEL5	GO:0009311
MEL5	GO:0009313
MEL5	GO:0015925
MEL5	GO:0016052
MEL5	GO:0016787
MEL5	GO:0016798
MEL5	GO:0044238
MEL5	GO:0046352
MEL5	GO:0071704
MEL5	GO:1901575
MEL6	GO:0003674
MEL6	GO:0003824
MEL6	GO:0004553
MEL6	GO:0004557
MEL6	GO:0005575
MEL6	GO:0005975
MEL6	GO:0005984
MEL6	GO:0005994
MEL6	GO:0005995
MEL6	GO:0008150
MEL6	GO:0008152
MEL6	GO:0009056
MEL6	GO:0009311
MEL6	GO:0009313
MEL6	GO:0015925
MEL6	GO:0016052
MEL6	GO:0016787
MEL6	GO:0016798
MEL6	GO:0044238
MEL6	GO:0046352
MEL6	GO:0071704
MEL6	GO:1901575
MEL7	GO:0003674
MEL7	GO:0003824
MEL7	GO:0004553
MEL7	GO:0004557
MEL7	GO:0005575
MEL7	GO:0005975
MEL7	GO:0005984
MEL7	GO:0005994
MEL7	GO:0005995
MEL7	GO:0008150
MEL7	GO:0008152
MEL7	GO:0009056
MEL7	GO:0009311
MEL7	GO:0009313
MEL7	GO:0015925
MEL7	GO:0016052
MEL7	GO:0016787
MEL7	GO:0016798
MEL7	GO:0044238
MEL7	GO:0046352
MEL7	GO:0071704
MEL7	GO:1901575
MEL8	GO:0003674
MEL8	GO:0003824
MEL8	GO:0004553
MEL8	GO:0004557
MEL8	GO:0005575
MEL8	GO:0005975
MEL8	GO:0005984
MEL8	GO:0005994
MEL8	GO:0005995
MEL8	GO:0008150
MEL8	GO:0008152
MEL8	GO:0009056
MEL8	GO:0009311
MEL8	GO:0009313
MEL8	GO:0015925
MEL8	GO:0016052
MEL8	GO:0016787
MEL8	GO:0016798
MEL8	GO:0044238
MEL8	GO:0046352
MEL8	GO:0071704
MEL8	GO:1901575
MEL9	GO:0003674
MEL9	GO:0003824
MEL9	GO:0004553
MEL9	GO:0004557
MEL9	GO:0005575
MEL9	GO:0005975
MEL9	GO:0005984
MEL9	GO:0005994
MEL9	GO:0005995
MEL9	GO:0008150
MEL9	GO:0008152
MEL9	GO:0009056
MEL9	GO:0009311
MEL9	GO:0009313
MEL9	GO:0015925
MEL9	GO:0016052
MEL9	GO:0016787
MEL9	GO:0016798
MEL9	GO:0044238
MEL9	GO:0046352
MEL9	GO:0071704
MEL9	GO:1901575
MPR1	GO:0003674
MPR1	GO:0003824
MPR1	GO:0005575
MPR1	GO:0005622
MPR1	GO:0005737
MPR1	GO:0005739
MPR1	GO:0005829
MPR1	GO:0006082
MPR1	GO:0006520
MPR1	GO:0006525
MPR1	GO:0006526
MPR1	GO:0006560
MPR1	GO:0006562
MPR1	GO:0006807
MPR1	GO:0008080
MPR1	GO:0008150
MPR1	GO:0008152
MPR1	GO:0008652
MPR1	GO:0009056
MPR1	GO:0009058
MPR1	GO:0009063
